,Product_Name2,Rating2,Original_Price2,Price2,Discount(%)2,Discount_Price2,Delivery2
0,"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)",4.3,16999,14999,11% off,2000,Free delivery
1,"SAMSUNG Galaxy F12 (Sky Blue, 64 GB)",4.2,12999,11499,11% off,1500,Free delivery
2,"SAMSUNG Galaxy F12 (Celestial Black, 64 GB)",4.2,12999,11499,11% off,1500,Free delivery
3,"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)",4.3,14999,12999,13% off,2000,Free delivery
4,"SAMSUNG Galaxy F12 (Sea Green, 64 GB)",4.2,12999,11499,11% off,1500,Free delivery
5,"SAMSUNG Galaxy F22 (Denim Black, 64 GB)",4.3,14999,12999,13% off,2000,Free delivery
6,"SAMSUNG Galaxy F12 (Sky Blue, 128 GB)",4.2,13999,12499,10% off,1500,Free delivery
7,"SAMSUNG M32 5G (Slate Black, 128 GB)",4.2,20200,19000,5% off,1200,Free delivery
8,"SAMSUNG Galaxy F12 (Sea Green, 128 GB)",4.2,13999,12499,10% off,1500,Free delivery
9,"SAMSUNG Galaxy M32 5G (Sky Blue, 128 GB)",4.2,22584,21189,6% off,1395,Free delivery
10,"SAMSUNG Galaxy M12 (White, 128 GB)",4.2,14170,13871,2% off,299,Free delivery
